2023-01-06 04:14:30.252 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.258 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.264 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.270 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.276 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.282 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.289 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.295 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.301 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.307 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.313 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.320 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.326 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.332 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:31.582 | INFO     | trt_utils:detect_video:178 - resized img, blob shape : (3, 640, 640)
2023-01-06 04:14:31.588 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:15:38.966 | INFO     | trt_utils:detect_video:177 - resized img, blob shape : (3, 640, 640)
2023-01-06 04:18:04.136 | INFO     | trt_utils:detect_video:176 - resized img, blob shape : (3, 640, 640)
2023-01-06 04:18:04.142 | INFO     | trt_utils:detect_video:179 - data shape : {data.shape}
2023-01-06 04:18:04.143 | INFO     | trt_utils:detect_video:188 - post process start
2023-01-06 04:19:08.962 | INFO     | trt_utils:detect_video:176 - resized img, blob shape : (3, 640, 640)
2023-01-06 04:19:25.742 | INFO     | trt_utils:detect_video:176 - resized img, blob shape : (3, 640, 640)
2023-01-06 04:19:25.748 | INFO     | trt_utils:detect_video:187 - post process start
